 format: day,hour,forecast,value  location:62_71 Start : 20200801 
 5,2000,+13,236.000000 
 5,2000,+16,218.000000 
 5,2000,+19,209.000000 
 5,2000,+22,197.000000 
 5,2000,+25,192.000000 
 5,2000,+28,195.000000 
 5,2000,+31,205.000000 
 5,2000,+34,207.000000 
 5,2000,+37,204.000000 
 5,2000,+40,199.000000 
 5,2000,+43,199.000000 
 5,2000,+46,201.000000 
 5,2000,+49,205.000000 
 5,2000,+52,202.000000 
 5,2000,+55,199.000000 
 5,2000,+58,202.000000 
 5,2000,+61,203.000000 
 5,2000,+64,199.000000 
 5,2000,+67,206.000000 
 5,2300,+4,226.000000 
 5,2300,+7,231.000000 
 5,2300,+10,236.000000 
 5,2300,+13,218.000000 
 5,2300,+16,209.000000 
 5,2300,+19,197.000000 
 5,2300,+22,192.000000 
 5,2300,+25,195.000000 
 5,2300,+28,205.000000 
 5,2300,+31,207.000000 
 5,2300,+34,204.000000 
 5,2300,+37,199.000000 
 5,2300,+40,199.000000 
 5,2300,+43,201.000000 
 5,2300,+46,205.000000 
 5,2300,+49,202.000000 
 5,2300,+52,199.000000 
 5,2300,+55,202.000000 
 5,2300,+58,203.000000 
 5,2300,+61,199.000000 
 5,2300,+64,206.000000 
 6,0200,+4,231.000000 
 6,0200,+7,236.000000 
 6,0200,+10,218.000000 
 6,0200,+13,209.000000 
 6,0200,+16,197.000000 
 6,0200,+19,192.000000 
 6,0200,+22,195.000000 
 6,0200,+25,205.000000 
 6,0200,+28,207.000000 
 6,0200,+31,204.000000 
 6,0200,+34,199.000000 
 6,0200,+37,199.000000 
 6,0200,+40,201.000000 
 6,0200,+43,205.000000 
 6,0200,+46,202.000000 
 6,0200,+49,199.000000 
 6,0200,+52,202.000000 
 6,0200,+55,203.000000 
 6,0200,+58,199.000000 
 6,0200,+61,206.000000 
 6,0500,+4,236.000000 
 6,0500,+7,218.000000 
 6,0500,+10,209.000000 
 6,0500,+13,197.000000 
 6,0500,+16,192.000000 
 6,0500,+19,195.000000 
 6,0500,+22,205.000000 
 6,0500,+25,207.000000 
 6,0500,+28,204.000000 
 6,0500,+31,199.000000 
 6,0500,+34,199.000000 
 6,0500,+37,201.000000 
 6,0500,+40,205.000000 
 6,0500,+43,202.000000 
 6,0500,+46,199.000000 
 6,0500,+49,202.000000 
 6,0500,+52,203.000000 
 6,0500,+55,199.000000 
 6,0500,+58,206.000000 
 6,0800,+4,218.000000 
 6,0800,+7,203.000000 
 6,0800,+10,191.000000 
 6,0800,+13,187.000000 
 6,0800,+16,193.000000 
 6,0800,+19,200.000000 
 6,0800,+22,204.000000 
 6,0800,+25,208.000000 
 6,0800,+28,200.000000 
 6,0800,+31,201.000000 
 6,0800,+34,203.000000 
 6,0800,+37,210.000000 
 6,0800,+40,209.000000 
 6,0800,+43,212.000000 
 6,0800,+46,208.000000 
 6,0800,+49,204.000000 
 6,0800,+52,198.000000 
 6,0800,+55,204.000000 
 6,1100,+4,203.000000 
 6,1100,+7,191.000000 
 6,1100,+10,187.000000 
 6,1100,+13,193.000000 
 6,1100,+16,200.000000 
 6,1100,+19,204.000000 
 6,1100,+22,208.000000 
 6,1100,+25,200.000000 
 6,1100,+28,201.000000 
 6,1100,+31,203.000000 
 6,1100,+34,210.000000 
 6,1100,+37,209.000000 
 6,1100,+40,212.000000 
 6,1100,+43,208.000000 
 6,1100,+46,204.000000 
 6,1100,+49,198.000000 
 6,1100,+52,204.000000 
 6,1400,+4,191.000000 
 6,1400,+7,187.000000 
 6,1400,+10,193.000000 
 6,1400,+13,200.000000 
 6,1400,+16,204.000000 
 6,1400,+19,208.000000 
 6,1400,+22,200.000000 
 6,1400,+25,201.000000 
 6,1400,+28,203.000000 
 6,1400,+31,210.000000 
 6,1400,+34,209.000000 
 6,1400,+37,212.000000 
 6,1400,+40,208.000000 
 6,1400,+43,204.000000 
 6,1400,+46,198.000000 
 6,1400,+49,204.000000 
 6,1700,+4,187.000000 
 6,1700,+7,193.000000 
 6,1700,+10,200.000000 
 6,1700,+13,204.000000 
 6,1700,+16,208.000000 
 6,1700,+19,200.000000 
 6,1700,+22,201.000000 
 6,1700,+25,203.000000 
 6,1700,+28,210.000000 
 6,1700,+31,209.000000 
 6,1700,+34,212.000000 
 6,1700,+37,208.000000 
 6,1700,+40,204.000000 
 6,1700,+43,198.000000 
 6,1700,+46,204.000000 
 6,2000,+4,185.000000 
 6,2000,+7,198.000000 
 6,2000,+10,201.000000 
 6,2000,+13,208.000000 
 6,2000,+16,203.000000 
 6,2000,+19,203.000000 
 6,2000,+22,201.000000 
 6,2000,+25,205.000000 
 6,2000,+28,205.000000 
 6,2000,+31,207.000000 
 6,2000,+34,205.000000 
 6,2000,+37,205.000000 
 6,2000,+40,197.000000 
 6,2000,+43,201.000000 
 6,2000,+46,204.000000 
 6,2000,+49,201.000000 
 6,2000,+52,197.000000 
 6,2000,+55,200.000000 
 6,2000,+58,201.000000 
 6,2000,+61,193.000000 
 6,2000,+64,182.000000 
 6,2000,+67,180.000000 
 6,2300,+4,198.000000 
 6,2300,+7,201.000000 
 6,2300,+10,208.000000 
 6,2300,+13,203.000000 
 6,2300,+16,203.000000 
 6,2300,+19,201.000000 
 6,2300,+22,205.000000 
 6,2300,+25,205.000000 
 6,2300,+28,207.000000 
 6,2300,+31,205.000000 
 6,2300,+34,205.000000 
 6,2300,+37,197.000000 
 6,2300,+40,201.000000 
 6,2300,+43,204.000000 
 6,2300,+46,201.000000 
 6,2300,+49,197.000000 
 6,2300,+52,200.000000 
 6,2300,+55,201.000000 
 6,2300,+58,193.000000 
 6,2300,+61,182.000000 
 6,2300,+64,180.000000 
 7,0200,+4,201.000000 
 7,0200,+7,208.000000 
 7,0200,+10,203.000000 
 7,0200,+13,203.000000 
 7,0200,+16,201.000000 
 7,0200,+19,205.000000 
 7,0200,+22,205.000000 
 7,0200,+25,207.000000 
 7,0200,+28,205.000000 
 7,0200,+31,205.000000 
 7,0200,+34,197.000000 
 7,0200,+37,201.000000 
 7,0200,+40,204.000000 
 7,0200,+43,201.000000 
 7,0200,+46,197.000000 
 7,0200,+49,200.000000 
 7,0200,+52,201.000000 
 7,0200,+55,193.000000 
 7,0200,+58,182.000000 
 7,0200,+61,180.000000 
 7,0500,+4,208.000000 
 7,0500,+7,203.000000 
 7,0500,+10,203.000000 
 7,0500,+13,201.000000 
 7,0500,+16,205.000000 
 7,0500,+19,205.000000 
 7,0500,+22,207.000000 
 7,0500,+25,205.000000 
 7,0500,+28,205.000000 
 7,0500,+31,197.000000 
 7,0500,+34,201.000000 
 7,0500,+37,204.000000 
 7,0500,+40,201.000000 
 7,0500,+43,197.000000 
 7,0500,+46,200.000000 
