 format: day,hour,forecast,value  location:54_126 Start : 20200801 
 6,2000,+67,10.000000 
 6,2300,+4,10.000000 
 6,2300,+10,0.000000 
 6,2300,+16,0.000000 
 6,2300,+22,1.000000 
 6,2300,+28,20.000000 
 6,2300,+34,20.000000 
 6,2300,+40,5.000000 
 6,2300,+46,5.000000 
 6,2300,+52,10.000000 
 6,2300,+58,40.000000 
 6,2300,+64,10.000000 
 7,0200,+7,0.000000 
 7,0200,+13,0.000000 
 7,0200,+19,1.000000 
 7,0200,+25,20.000000 
 7,0200,+31,20.000000 
 7,0200,+37,5.000000 
 7,0200,+43,5.000000 
 7,0200,+49,10.000000 
 7,0200,+55,40.000000 
 7,0200,+61,10.000000 
 7,0500,+4,0.000000 
 7,0500,+10,0.000000 
 7,0500,+16,1.000000 
 7,0500,+22,20.000000 
 7,0500,+28,20.000000 
 7,0500,+34,5.000000 
 7,0500,+40,5.000000 
 7,0500,+46,10.000000 
 7,0500,+52,40.000000 
 7,0500,+58,10.000000 
 7,0800,+7,0.000000 
 7,0800,+13,40.000000 
 7,0800,+19,0.000000 
 7,0800,+25,20.000000 
 7,0800,+31,5.000000 
 7,0800,+37,5.000000 
 7,0800,+43,10.000000 
 7,0800,+49,40.000000 
 7,0800,+55,10.000000 
 7,1100,+4,0.000000 
 7,1100,+10,40.000000 
 7,1100,+16,0.000000 
 7,1100,+22,20.000000 
 7,1100,+28,5.000000 
 7,1100,+34,5.000000 
 7,1100,+40,10.000000 
 7,1100,+46,40.000000 
 7,1100,+52,10.000000 
 7,1400,+7,40.000000 
 7,1400,+13,0.000000 
 7,1400,+19,20.000000 
 7,1400,+25,5.000000 
 7,1400,+31,5.000000 
 7,1400,+37,10.000000 
 7,1400,+43,40.000000 
 7,1400,+49,10.000000 
 7,1700,+4,0.000000 
 7,1700,+10,0.000000 
 7,1700,+16,20.000000 
 7,1700,+22,5.000000 
 7,1700,+28,5.000000 
 7,1700,+34,10.000000 
 7,1700,+40,40.000000 
 7,1700,+46,10.000000 
 7,2000,+7,0.000000 
 7,2000,+13,20.000000 
 7,2000,+19,70.000000 
 7,2000,+25,20.000000 
 7,2000,+31,5.000000 
 7,2000,+37,40.000000 
 7,2000,+43,40.000000 
 7,2000,+49,10.000000 
 7,2000,+55,5.000000 
 7,2000,+61,70.000000 
 7,2000,+67,0.000000 
 7,2300,+4,0.000000 
 7,2300,+10,20.000000 
 7,2300,+16,70.000000 
 7,2300,+22,20.000000 
 7,2300,+28,40.000000 
 7,2300,+34,40.000000 
 7,2300,+40,40.000000 
 7,2300,+46,10.000000 
 7,2300,+52,5.000000 
 7,2300,+58,70.000000 
 7,2300,+64,0.000000 
 8,0200,+7,20.000000 
 8,0200,+13,70.000000 
 8,0200,+19,20.000000 
 8,0200,+25,40.000000 
 8,0200,+31,40.000000 
 8,0200,+37,40.000000 
 8,0200,+43,10.000000 
 8,0200,+49,5.000000 
 8,0200,+55,70.000000 
 8,0200,+61,0.000000 
 8,0500,+4,20.000000 
 8,0500,+10,70.000000 
 8,0500,+16,20.000000 
 8,0500,+22,40.000000 
 8,0500,+28,40.000000 
 8,0500,+34,40.000000 
 8,0500,+40,10.000000 
 8,0500,+46,5.000000 
 8,0500,+52,70.000000 
 8,0500,+58,0.000000 
 8,0800,+7,70.000000 
 8,0800,+13,100.000000 
 8,0800,+19,100.000000 
 8,0800,+25,70.000000 
